brand,product_name,price,product_category,type_category,url,ingredients
Kiehl's,Ultra Facial Cleanser,cheap,"dry,sen0",cleanser,https://www.kiehls.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-kiehls-master-catalog/default/dw5e6e3cdb/Kiehls_ECOMM_2000/SKIN_CARE/Cleansers_Scrubs_and_Masques/Ultra_Facial_Cleanser/Ultra_Facial_Cleanser_3605970024192_5.0fl.oz..jpg?sw=465&sh=390&sm=fit&q=70,"Water, Sodium Laureth Sulfate, Decyl Glucoside, Glycerin, Cocamidopropyl Betaine, Disodium Cocoamphodiacetate, Acrylate Copolymer, PEG-200 Hydrogenated Glyceryl Palmate, Lauryl Glucoside, Sodium Chloride, Pentylene Glycol, Triethanolamine, Phenoxyethanol, PEG-7 Glyceryl Cocoate, Ethylhexylglycerin, Distearyl Ether, Behenyl Alcohol, Methylparaben, Laureth-2, Citric Acid, Disodium EDTA, Propylparaben, Polyaminopropyl Biguanide, Sodium Methylparaben, Squalane, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Prunus Armeniaca (Apricot) Kernel Oil, Tocopherol, Ascorbyl Glucoside, Persea Gratissima (Avocado) Oil"
Shiseido,The Skincare Gentle Cleansing Cream,normal,"dry,sen0",cleanser,https://www.beautypedia.com/wp-content/uploads/2012/04/051ADB1A-2521-449F-9340-F37891BA9D5D_ShiseidoTheSkincareGentleCleansingCream.jpg,"Water, Cyclomethicone, SD Alcohol 40-B, Dimethicone, PEG-60 Hydrogenated Castor Oil, Xylitol, Carbomer, Potassium Hydroxide, Acrylates C10-30 Acrylates Crosspolymer, Methylparaben, Fragrance, Trisodium EDTA"
SkinCeuticals,Purifying Cleanser,expensive,"dry,sen0",cleanser,https://www.beautypedia.com/wp-content/uploads/2012/04/D0658008-993B-43A4-85B7-519746682C90_SkinCeuticals_PurifyingCleanser.jpg,"Aqua/Water/Eau, Propylene Glycol, PEG-30 Glyceryl Cocoate, Captryl/Capramidopropyl Betaine, Glycerin, Disodium Laureth Sulfosuccinate, Cocamidopropyl Betaine, Sodium Chloride, Xanthan Gum, Glycolic Acid, Phenoxyethanol, Sodium Hydroxide, Benzoic Acid, Tocopheryl Acetate"
Ole Henriksen,On the Go Cleanser,cheap,"dry,sen1",cleanser,https://www.beautypedia.com/wp-content/uploads/2009/11/F0CCD55A-BE30-4669-A65D-95F0311898E4_OleHenriksenOnTheGoCleanser.jpg,"Water (Aqua, Eau), Cocamidopropyl Hydroxysultaine, Decyl Glucoside, Glycerin, Sodium Lauroyl Sarcosinate, PEG-150 Distearate, Sorbitol, Aloe Barbadensis Leaf Juice, Tocopheryl Acetate, Thioctic Acid, Calcium Ascorbate, Ascorbic Acid, Citrus Aurantium Dulcis (Orange) Fruit Extract, Hamamelis Virginiana (Witch Hazel) Water, Ulmus Fulva Bark Extract, Macrocystis Pyrifera Extract, Yucca Schidigera Leaf/Root/Stem Extract, Quillaja Saponaria Bark Extract, Vitis Vinifera (Grape) Seed Oil, Polysorbate 20, Phenoxyethanol, Chlorphenesin, Annatto, Fragrance (Parfum)"
La Roche-Posay,Effaclar Purifying Cleansing Gel,normal,cleanser,"dry,sen1",https://s1.thcdn.com/productimg/1600/1600/11091822-1904492013074791.jpg,"Water, Decyl Glucoside, Sodium Laureth Sulfate, Peg-120 Methylglucose Dioleate, Polyglyceryl 3-Hydroxylauryl Ether, Peg-4 Dilaurate, Peg-4 Laurate, Zinc Pca, Disodium Edta, Citric Acid, Polyquaternium-7, Iodoproponyl Butylcarbamate, Peg-4, Methylparaben, Propylparaben, Fragrance"
La Roche-Posay,Effaclar Cleansing,expensive,cleanser,"dry,sen1",https://s1.thcdn.com/productimg/1600/1600/11434754-1284473902241453.jpg,"Aqua / Water, Sodium Laureth Sulfate, PEG-8, Coco-Betaine, Hexylene Glycol, Sodium Chloride, PEG-120 Methyl Glucose Dioleate, Zinc PCA, Sodium Hydroxide, Citric Acid, Sodium Benzoate, Phenoxyethanol, Caprylyl Glycol, Parfum / Fragrance"
Vichy,Purete Thermale Perfecting Toner,cheap,"oily,sen0",cleanser,https://s1.thcdn.com/productimg/1600/1600/11119870-7704590342761475.jpg,"Water, Glycerin, Peg-8, Peg-60 Hydrogenated Castor Oil, Ci 17200/Red 33, Tocopheryl Acetate, Citric Acid, Panthenol, Myrtrimonium Bromide, Butylene Glycol, Butyrospermum Parkii Seedcake Extract/Shea Butter Seedcake Extract, Fragrance"
Vichy,Purete Thermale Fresh Cleansing Gel,normal,"oily,sen0",cleanser,https://s1.thcdn.com/productimg/960/960/11119868-1734309291118445.jpg,"Aqua/Water, Glycerin, Coco-Betaine, Sodium Cocoyl Glycinate, Peg-120 Methyl Glucose Dioleate, Sodium Chloride, Dipropylene Glycol, Lauric Acid, Triethanolamine, Moringa Pterygosperma Seed Extract, Phenoxyethanol, Caprylyl Glycol, Citric Acid, Tetrasodium Edta, Parfum/Fragrance"
Darphin,Lumiere Essentielle Illuminating Micellar Cleanser,expensive,"oily,sen0",cleanser,https://s1.thcdn.com/productimg/1600/1600/11686003-7924619088524829.jpg,"Caprylic/Capric Triglyceride, Octyldodecanol, Glycerin, Water\Aqua\Eau, Trimethylolpropane Triisostearate, Polyglyceryl-10 Laurate, Citrus Nobilis (Mandarin Orange) Peel Oil, Citrus Aurantium Dulcis (Orange) Flower Oil, Citrus Aurantium Dulcis (Orange) Oil, Squalane, Santalum Album (Sandalwood) Oil, Rosa Damascena (Rose) Flower Oil, Cananga Odorata Flower Oil, Butylene Glycol, Bisabolol, Tocopheryl Acetate, Butyl Methoxydibenzoylmethane, Ethylhexyl Salicylate, Ethylhexyl Methoxycinnamate, Citric Acid, Linalool, Limonene"
DHC,Deep Cleansing Oil,cheap,"oily,sen1",cleanser,https://s1.thcdn.com/productimg/1600/1600/11207442-2484587225629865.jpg,"Olea Europaea (Olive) Fruit Oil, Caprylic/Capric Triglyceride, Sorbeth-30 Tetraoleate, Pentylene Glycol, Phenoxyethanol, Tocopherol, Stearyl Glycyrrhetinate, Rosmarinus Officinalis (Rosemary) Leaf Oil"
BareMinerals,OIL OBSESSED Oil Cleanser,normal,"oily,sen1",cleanser,https://s1.thcdn.com/productimg/960/960/11262515-1044392557373813.jpg,"Carthamus Tinctorius (Safflower) Seed Oil, Coconut Alkanes, Pentaerythrityl Tetraethylhexanoate, Sorbeth-30 Tetraisostearate, Squalane, Coco-Caprylate/Caprate, Water (Aqua/Eau), Tocopherol, Borago Officinalis Seed Oil, Cucumis Sativus (Cucumber) Seed Oil, Vaccinium Myrtillus Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Sea Salt (Maris Sal/Sel Marin), Fragrance (Parfum), Limonene, Linalool, Phenoxyethanol"
Chantecaille,Rice & Geranium Foaming Cleanser,expensive,"oily,sen1",cleanser,https://s1.thcdn.com/productimg/1600/1600/11219094-1034644213746103.jpg,"Water/Aqua, Potassium Myristate, Glycerin, Potassium Stearate, Myristic Acid, Butylene Glycol, Sodium Lauroyl Glutamate, Stearic Acid, Glyceryl Sterate, Lauramide Dea, Citrus Aurantium Dulcis (Orange) Flower Water, Butyrospermum Parkii (Shea Butter) Fruit, Squlane, Behenyl Alcohol, Methylmethacrylate Cross Polymer, Oryza Sativa (Rice) Bran Extract, Pelargonium Graveolens Flower Oil, Fucus Vesiculosus Extract, Natto Gum, Olea Europaea (Olive) Leaf Extract, Hydrolyzed Wheat Protein, Dipotassium Glycyrrhizate, Lithospermum Erythrorhizone Root Extract, Alcohol, Methylparaben, Butylparaben, Disodium Edta"
Neutrogena,Hydro Boost Water Gel Cleanser,cheap,"normal,sen0",cleanser,https://s1.thcdn.com/productimg/1600/1600/11433777-1484654110721599.jpg,"Aqua, Glycerin, Cocamidopropyl Hydroxysultaine, Sodium Cocoyl Isethionate, Sodium Methyl Cocoyl Taurate, Sodium Hydrolyzed Potato Starch Dodecenylsuccinate, Hydrolyzed Hyaluronic Acid, Ethylhexylglycerin, Linoleamidopropyl PG-Dimonium Chloride Phosphate, Polyquaternium-10, Polysorbate 20, Sodium Isethionate, Sodium Lauryl Sulfate, Sodium C14-16 Olefin Sulfonate , Potassium Acrylates Copolymer, Sodium Chloride, Propylene Glycol, Disodium EDTA, Citric Acid, Sodium Hydroxide, Hydroxyacetophenone, Tocopheryl Acetate, Phenoxyethanol, Parfum"
FARMACY,New Day Gentle Exfoliating Grains,normal,"normal,sen0",cleanser,https://s1.thcdn.com/productimg/1600/1600/11787601-2754602457951173.jpg,"Sodium Cocoyl Isethionate, Zea Mays (Corn) Starch, Sodium Bicarbonate, Sodium Lauroyl Glutamate, Vaccinium Macrocarpon (Cranberry) Seed Powder, Citric Acid, Water/Aqua/Eau, Mannan, Phaseolus Angularis (Adzuki) Seed Powder, Spirulina Plantensis Powder, Echinacea Purpurea Root Extract, P-Anisic Acid, Salix Alba (Willow) Bark Extract, Ascorbic Acid, Tetrahexyldecyl Ascorbate, Glycerin, Butylene Glycol, Lactobacillus/Lemon Peel Ferment Extract, Camellia Oleifera Leaf Extract, Daucus Carota Sativa (Carrot) Root Extract, Althaea Officinalis Root Extract"
Bobbi Brown,Soothing Cleansing Oil,expensive,"normal,sen0",cleanser,https://s1.thcdn.com/productimg/1600/1600/11512178-3594503175370472.jpg,"Isopropyl Palmitate, Triethylhexanoin, Isodecyl Isononanoate, PEG-20 Glyceryl Triisostearate, Polybutene, Triisostearin, PEG-8 Diisostearate, PEG-12 Diisostearate, Aleurites Molucana Seed Oil, Simmondsia Chinensis Seed Oil, Olea Europaea Fruit Oil, Helianthus Annuus Seed Oil, Zingiber Officinale Root Extract, Bixa Orellana Seed Extract, Lavandula Angustfolia, Jasminum Officinale Flower Wax, Glycerin, Methyldihydrojasmonate, Pentylene Glycol, Glyceryl Laurate, Bisobolol, Tocopheryl Acetate, Linalool, Water"
Trilogy,Cream Cleanser,normal,"normal,sen1",cleanser,https://s1.thcdn.com/productimg/0/960/960/01/10305401-1414081804-895775.jpg,"Aqua (Water), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin (Vegetable), Rosa Canina (Rosehip) Seed Oil, Cetearyl Olivate (and) sorbitan olivate, Cetearyl alcohol, Oenothera Biennis (Evening Primrose) Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Tocopheryl Acetate (Vitamin E), Aloe Barbadensis (Aloe Vera)"
Burt's Bees,Sensitive Facial Cleanser,cheap,"normal,sen1",cleanser,https://s1.thcdn.com/productimg/0/600/600/31/10591831-1330954795-955074.jpg,"aqua (water, eau), helianthus annuus (sunflower) seed oil, glycerin, cetyl alcohol, cera alba (beeswax, cire d'abeille), sucrose stearate, cetearyl alcohol, cocos nucifera (coconut) oil, gossypium herbaceum (cotton) flower extractoryza sativa (rice) extract, beta vulgaris (beet, extrait de racine de betterave) root extract, quillaja saponaria bark extract, theobroma cacao (cocoa) seed butter, yucca schidigera leaf/root/stem extract, artemisia umbelliformis extract euphrasia officinalis extract, hamamelis virginiana (witch hazel) water, saccharum officinarum (sugar cane, extrait de canne à sucre) extract, aloe barbadensis leaf juice, silica, sucrose, fructose, glucose, coco-glucoside, inositol maltodextrin, citric acid, benzoic acid, trehalose, xanthan gum, potassium sorbate, sodium benzoate, CI 77947 (zinc oxide), alcohol denat., phenoxyethanol"
DECLÉOR,Phytopeel - Natural Exfoliating Cream,expensive,"normal,sen1",cleanser,https://s1.thcdn.com/productimg/1600/1600/10362793-2044568999793480.jpg,"Water (Aqua), Paraffin, Stearic Acid, Magnesium Aluminum Silicate, Triethanolamine, Citrus Medica Limonum (Lemon) Peel Oil, Lavandula Angustifolia (Lavender) Oil, Thymus Mastichina (Sweet Marjoram) Oil, Arctium Majus Root Extract, Sambucus Nigra Flower Extract, Thymus Vulgaris (Thyme) Oil, Malva Sylvestris (Mallow) Extract, Propylene Glycol, Glyceryl Stearate, Peg-100 Stearate, Montmorillonite, Tetrasodium Edta, D-Limonene, Linalool, Phenoxyethanol, Methylparaben, Ethylparaben, Butylparaben, Isobutylparaben, Propylparaben"
Bioderma,Sebium Pore Refiner Corrective Cream For Enlarged Pores,cheap,"pore,sen0",serum,https://s1.thcdn.com/productimg/1600/1600/11450889-1364572659988984.jpg,"Aqua/Water/Eau, Methyl Methacrylate Crosspolymer, Dipropylene Glycol, Cyclopentasiloxane, Cyclohexasiloxane, Dimethicone, Glycerin, Butylene Glycol, Fomes Officinalis (Mushroom) Extract, Sodium Polyacrylate, Salicylic Acid, Dodecyl Gallate, Ginkgo Biloba Leaf Extract, Mannitol, Xylitol, Rhamnose, Fructooligosaccharides, Laminaria Ochroleuca Extract, Silica, Trideceth-6, C30-45 Alkyl Cetearyl Dimethicone Crosspolymer, Lauryl Peg/Ppg- 18/18 Methicone, Caprylic/Capric Triglyceride, Mineral Oil (Paraffinum Liquidum), Pentylene Glycol, 1,2-Hexanediol, Peg/Ppg-18/18 Dimethicone, Caprylyl Glycol, Propylene Glycol, Sodium Hydroxide, Citric Acid, Disodium Edta, Fragrance (Parfum)"
La Roche-Posay,Rosaliac AR Intense Serum,normal,"pore,sen0",serum,https://s1.thcdn.com/productimg/960/960/11091876-1774278248220927.jpg,"Aqua / Water / Eau, Glycerin, Isostearyl Neopentanoate, Butylene Glycol, Pentylene Glycol, Polysorbate 20, Tambourissa Trichophylla Leaf Extract, Glyceryl Acrylate/Acrylic Acid Copolymer, Dimethicone, Dimethiconol, Ammonium Polyacryldimethyltauramide /Ammonium Polyacryloyldimethyl Taurate, Disodium EDTA, Acetyl Dipeptide-1 Cetyl Ester"
Lancôme,Advanced Génifique Serum,expensive,"pore,sen0",serum,"https://s1.thcdn.com/productimg/1600/1600/11185397-1734588742105361.jpg","Water, Bifida Ferment Lysate, Glycerin, Alcohol Denat., Dimethicone, Hydroxyethylpiperazine Ethane Sulfonic Acid, Ascorbyl Glucoside, Sodium Hyaluronate, Sodium Hydroxide, Sodium Benzoate, Phenoxyethanol, Adenosine, Faex Extract/Yeast Extract/Extrait De Levure, Peg-20 Methyl Glucose Sesquistearate, Peg-60 Hydrogenated Castor Oil, Salicyloyl Phytosphingosine, Ammonium Polyacryldimethyltauramide/Ammonium Polyacryloyldimethyl Taurate, Limonene, Xanthan Gum, Caprylyl Glycol, Disodium Edta, Octyldodecanol, Citronellol, Fragrance"
Hylamide,Glow Booster,cheap,"pore,sen1",serum,https://s1.thcdn.com/productimg/960/960/11241351-1794378323577242.jpg,"Aqua (Water), Erythrulose, Glycerin, Ppg-26-Buteth-26, Propanediol, Acetyl Hexapeptide-1, Dextran, Ethoxydiglycol, Dimethyl Isosorbide, Oxidised Glutathione, Citrulline, Citrullus Lanatus (Watermelon) Fruit Extract, Polypodium Vulgare Rhizome Extract, Cetraria Islandica Thallus Extract, Sphagnum Magellanicum Extract, Lactobacillus/Eriodictyon Californicum Ferment Extract, Phytic Acid, Phospholipids, Acacia Senegal Gum, Xanthan Gum, Trisodium Ethylenediamine Disuccinate, Peg-40 Hydrogenated Castor Oil, Leuconostoc/Radish Root Ferment Filtrate, Potassium Sorbate, Sodium Benzoate, 1,2-Hexanediol, Caprylyl Glycol, Phenoxyethanol, Citric Acid, Linalool, Farnesol"
Trilogy,CoQ10 Booster Oil,normal,"pore,sen1",serum,https://s1.thcdn.com/productimg/960/960/10557485-1304396459631322.jpg,"Macadamia ternifolia seed oil,Simmondsia Chinensis (Jojoba) Seed Oil,Helianthus annuus seed oil, Salvia Hispanica (Chia) Seed Oil, Nigella sativa,Calophyllum Tacamahaca (Tamanu) Seed Oil, Ubiquinone, Euterpe Oleracea fruit oil (and) Tocopherol, Vaccinium Angustifolia (Blueberry) Seed Oil,Fragaria Vesca (strawberry) Seed Oil,Punica Granatum (pomegranate) Seed Oil, Parfum, Citral, Geraniol, Citronellol,Limonene, Linalool"
Elizabeth Arden,Prevage Advanced Daily Serum,expensive,"pore,sen1",serum,https://s1.thcdn.com/productimg/960/960/10664989-1064395687096765.jpg,"Water/Aqua/Eau, Cyclopentasiloxane, Butylene Glycol, Pentylene Glycol, Dimethicone, Methyl Trimethicone, Isododecane, Dipropylene Glycol, Glycerin, Peg-75, Polysilicone-11, Panthenyl Triacetate, Caprylyl Methicone, Propylene Glycol, Hydroxydecyl Ubiquinoyl Dipalmitoyl Glycerate, Glycereth-26, Peg-10 Dimethicone, Ergothioneine, Chondrus Crispus Extract, Sodium Hyaluronate, Retinyl Linoleate, Tocopheryl Acetate, Glycine Soja (Soybean) Oil, Caprylyl Glycol, Coco-Caprylate/Caprate, Isohexadecane, Ppg-2 Isoceteth-20 Acetate, Urea, Acetyl Farnesylcysteine, Hydrogenated Lecithin, Lecithin, Lysophosphatidic Acid, Naringenin, Methylsilanol Hydroxyproline Aspartate, Palmitoyl Hexapeptide-19, Quercus Suber Bark Extract, Caprooyl Tetrapeptide-3, Oligopeptide-68, Acrylamide/Sodium Acryloyldimethyl Taurate Copolymer, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Decyl Glucoside, Lysolecithin, Polysorbate 20, Polysorbate 80, Sodium Oleate, Polyimide-1, Dextran, Hexylene Glycol, Disodium Edta, Salicylic Acid, Mica, Tin Oxide, Aminopropyl Dimethicone, Parfum/Fragrance, Alpha-Isomethyl Ionone, Linalool, Benzophenone-4, Ethylparaben, Methylparaben, Phenoxyethanol, Potassium Sorbate, Propylparaben, Sodium Dehydroacetate, Sodium Methylparaben, Red 4 (Ci 14700), Titanium Dioxide (Ci 77891), Yellow 5 (Ci 19140)"
