brand,product_name,price,product_category,type_category,url,ingredients
Vichy,Aqualia Night Spa,cheap,"normal,sen1",moisturizer,https://www.vichy.nl/aqualia-thermal/nacht-spa/mpr-Y3c4dUxtaW1rayt5eExNOThWd2ZsUT09-f-0.jpg?v=20190306084229,"Aqua / Water, Glycerin, Dimethicone, Caprylic/Capric Triglyceride, Squalane, Ammonium Polyacryldimethyltauramide / Ammonium Polyacryloyldimethyl Taurate, CI 42090 / Blue 1, CI 42053 / Green 3, Dimethiconol, Sodium Hyaluronate, Phenoxyethanol, Poloxamer 338, Disodium Edta, Caprylyl Glycol, Citric Acid, Biosaccharide Gum-1, Xanthan Gum, Parfum / Fragrance Code F.I.L. : B159170/2"
Leegeehaam,Grow Vita Propolis Ampoule,normal,"normal,sen1",moisturizer,https://s1.thcdn.com/productimg/1600/1600/11733309-6334587155770857.jpg,"Aqua, Butylene Glycol, Panthenol, Rosa Centifolia Flower Water, Portulaca Oleracea Extract, Niacinamide, 1,2-Hexanediol, Ethyl Ascorbic Acid, Propolis Extract, Phenoxyethanol, Ethylhexylglycerin, Carbomer, Arginine, Hippophae Rhamnoides Extract, Propylene Glycol, Dipotassium Glycyrrhizate, Hydroxyethylcellulose, Adenosine, Sodium Hyaluronate, Centella Asiatica Extract, Hamamelis Virginiana Bark/Twig Extract, Spirodela Polyrrhiza Extract"
Aveda, Tulasara Morning Creme,expensive,"normal,sen1",moisturizer,https://s1.thcdn.com/productimg/1600/1600/11509552-1514510243921374.jpg,"Water\Aqua\Eau , Carthamus Tinctorius (Safflower) Oleosomes , Propanediol , Glycerin , Caprylic/Capric Triglyceride , Heptyl Undecylenate , Stearic Acid , Cetyl Alcohol , Glyceryl Stearate , Candelilla/Jojoba/Rice Bran Polyglyceryl-3 Esters , Glycyrrhiza Glabra (Licorice) Root Extract , Molasses Extract\Saccharum Officinarum\Extrait De Mélasse , Glucosamine Hcl , Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract , Sigesbeckia Orientalis (St. Paul's Wort) Extract , Acetyl Hexapeptide-8 , Centella Asiatica Leaf Extract , Algae Extract , Hordeum Vulgare (Barley) Extract\Extrait D'Orge , Cucumis Sativus (Cucumber) Fruit Extract , Laminaria Digitata (Baobob) Extract , Scutellaria Baicalensis Root Extract , Pyrus Malus (Apple) Fruit Extract , Rosmarinus Officinalis (Rosemary) Extract , Oryzanol , Polygonum Cuspidatum Root Extract , Zingiber Officinale (Ginger) Root Extract , Salicylic Acid , Helianthus Annuus (Sunflower) Seed Oil , Crithmum Maritimum Extract , Pisum Sativum (Pea) Extract , Bambusa Vulgaris (Bamboo) Extract , Laminaria Saccharina (Seaweed) Extract , Hydrolyzed Rice Protein , Caffeine , Coffea Arabica (Coffee) Seed Extract , Helianthus Annuus (Sunflower) Seedcake , Hydrogenated Lecithin , Hydrogenated Vegetable Oil , Lauroyl Lysine , Aminopropyl Ascorbyl Phosphate , Pyridoxine Hcl , PEG-100 Stearate , Cetearyl Alcohol , Tocopherol , Caprylyl Glycol , Dimethicone , Sodium Stearoyl Lactylate , Silica , Sodium PCA , Butylene Glycol , Cetyl Esters , Sea Salt\Maris Sal\Sel Marin , Squalane , Sodium Carrageenan , Xanthan Gum , Sodium Hyaluronate , Fragrance (Parfum) , Farnesol , Linalool , Citronellol , Citral , Limonene , Benzyl Benzoate , Geraniol , Sodium Citrate , Gluconolactone , Sodium Benzoate , Phenoxyethanol , Bismuth Oxychloride (CI 77163)"
PACKage,Don't Worry Healing Mask,cheap,"sen1",mask,https://s1.thcdn.com/productimg/1600/1600/11686967-9304559239500708.jpg,"Centella Asiatica Extract, Water, Pentylene Glycol, Glycerin, Madecassoside, Carbomer, Arginine, Sodium Hyaluronate, Houttuynia Cordate Extract, Althaea Rosea Root Extract, Aloe Barbadensis Leaf Extract, Aloe Barbadenis Leaf Juice Powder, Sh-Oilgopeptide-1"
BeautyPro,Nourishing Collagen Sheet Mask with Olive Extract,normal,"sen0",mask,https://s1.thcdn.com/productimg/1600/1600/11432735-1744600696189740.jpg,"Marine Collagen, Vitamin-C, Aloe Vera, Extracts of Bearberry, Licorice Root, Portulaca Flower, Sophora Angustifolia Natural Plant Extract, Chamomile, Boswellia Serrata Plant Extract, Pomegranate, Witch Hazel"
Caudalie,Moisturising Mask,expensive,"sen1",mask,https://s1.thcdn.com/productimg/960/960/11098714-1574290715458144.jpg,"Grape Oil, Vinolevure®, Aqua (Water), Glycerin*, Isononyl Isononanoate, Vitis Vinifera (Grape) Seed Oil*, Sorbitan Stearate*, Peg-100 Stearate*, Glyceryl Stearate*, Ceteth-20*, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Squalane*, Cetyl Alcohol*, Cetyl Palmitate*, Dimethicone, Butylene Glycol*, Ci 77891 (Titanium Dioxide), Sodium Dehydroacetate, Caprylyl Glycol, Polysorbate 60*, Parfum (Fragrance), Tocopherol*, Carbomer, Sodium Phytate*, Sodium Hydroxide, Scutellaria Baicalensis Root Extract*, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Carboxymethyl Beta-Glucan, Sodium Hyaluronate, Hexyl Cinnamal, Linalool, Limonene, Benzyl Benzoate, Citronellol. (052/023)*Origine Végétale - Plant Origin"
Frank Body,Original Coffee Scrub,cheap,"sen0",exfoliator,https://s1.thcdn.com/productimg/1600/1600/11771303-3754586658937863.jpg,"Coffea Robusta Seed Powder (Coffee), Prunus Amygdalus Dulcis (Sweet Almond) Oil, Water (Aqua), Sodium Chloride (Salt), Sucrose (Brown Sugar), Citrus Aurantium Dulcis (Orange) Oil, Tocopherol (Vitamin E), Glycine Soja (Soybean) Oil, Benzyl Alcohol (Cinnamon Derived). Total Naturally Derived: 100%"
Sukin,Super Greens Facial Scrub,normal,"sen1",exfoliator,https://s1.thcdn.com/productimg/960/960/11142347-5074398516680064.jpg,"Water (Aqua), Aloe Barbadensis Leaf Juice, Sesamum Indicum (Sesame) Seed Oil, Cetearyl Alcohol, Bambusa Arundinacea Stem Powder (Bamboo), Cetyl Alcohol, Ceteareth-20, Jojoba Esters, Spirulina Platensis Extract, Chlorella Vulgaris Extract, Petroselinum Crispum (Parsley) Extract, Brassica Oleracea Acephala Leaf Extract (Kale), Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil, Rosa Canina Fruit Oil (Rose Hip), Citrus Aurantifolia (Lime) Peel Oil, Ananas Sativus (Pineapple) Fruit Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Fragrance (Parfum)*, Tocopherol, Citric Acid, Phenoxyethanol, Benzyl Alcohol"
Origins,Modern Friction Exfoliator,expensive,"sen0",exfoliator,https://s1.thcdn.com/productimg/1600/1600/11396728-1254493886745701.jpg,"Water, Rosa Damascena (Rose) Flower Water, Oryza Sativa (Rice) Starch, Sodium Laureth Sulfate, Glycerin, Cocamide Mea, Glycol Distearate, Acrylates Copolymer, Pentylene Glycol, Polysorbate 20, Citrus Aurantium Bergamia (Bergamot) Fruit Oil*, Citrus Limon (Lemon) Peel Oil*, Cucumis Sativus (Cucumber) Oil*, Cinnamomum Camphora (Camphor) Oil*, Litsea Cubeba Fruit Oil*, Citrus Aurantium Amara (Bitter Orange) Peel Extract*, Ocimum Basilicum (Basil) Oil*, Mentha Piperita (Peppermint) Oil*, Citral, Linalool, Benzyl Salicylate, Limonene, Aloe Barbadensis Leaf Extract, Scutellaria Baicalensis Root Extract, Pyrus Malus (Apple) Fruit Extract, Cucumis Sativus (Cucumber) Fruit Extract, Tetrahexyldecyl Ascorbate, Butylene Glycol, Hexylene Glycol, Sodium Cocoate, Caprylyl Glycol, Sodium Sulfate, Hydroxypropyl Methylcellulose, Sodium Chloride, Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Laureth-2, Edta, Disodium Edta, Trisodium Hedta, Sodium Hydroxide, Methylchloroisothiazolinone, Methylisothiazolinone, Phenoxyethanol, Titanium Dioxide (Ci 77891)"
La Roche-Posay,Anthelios Ultra Comfort Cream,cheap,"sen1",suncreen,https://s1.thcdn.com/productimg/1600/1600/11678704-9924562851026408.jpg,"Aqua / Water, Diisopropyl Sebacate, Glycerin, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Alcohol Denat., Propanediol, Ethylhexyl Salicylate, Ethylhexyl TRIAZONE, C12 – 22 Alkylacrylate/Hydroxyethylacrylate Copolymer, Drometrizole Trisiloxane, Butyl Methoxydibenzoylmethane, Aluminum Starch Octenylsuccinate, Silica, Tocopherol, Isopropyl Lauroyl Sarcosinate, Acrylatescopolymer, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Caprylyl Glycol, Citric Acid, Disodium Edta, Scutellaria Baicalensis Extract / Scutellaria Baicalensis Root Extract, T-Butyl Alcohol, Terephthalylidene Dicamphor Sulfonic Acid, Triethanolamine, Xanthan Gum"
Jurlique,Sun Specialist High Protection Cream,normal,"sen0",sunscreen,https://s1.thcdn.com/productimg/1600/1600/11106916-5244588272007704.jpg,"Aqua (Water), Phenoxyethyl Caprylate, Acrylates/Vinyl Neodecanoate Crosspolymer, Glycerin, Ethylhexyl Methoxycrylene, Diethylhexyl Syringylidenemalonate, Glyceryl Stearate, VP/Eicosene Copolymer, Cetearyl Alcohol, Myristyl Myristate, Sodium Stearoyl Glutamate, Plukenetia volubilis Seed Oil, Butyrospermum parkii (Shea) Butter, Palmaria palmata Extract, Ascophyllum nodosum Extract, Fucus vesiculosus Extract, Porphyra umbilicalis Extract, Coriandrum sativum (Coriander) Extract, Chamomilla recutita (Matricaria) Flower Extract, Rosa gallica Flower Extract, Glycyrrhiza glabra (Licorice) Root Extract, Viola odorata Extract, Viola tricolor Extract, Sambucus nigra Flower Extract, Camellia sinensis Leaf Extract, Cucumis sativus (Cucumber) Fruit Extract, Tasmannia lanceolata Fruit Extract, Syzygium leuhmanii Extract, Kunzea pomifera Fruit Extract, Fragrance/Parfum*, Silica, Acrylates/Beheneth-25 Methacrylate Copolymer, Xanthan Gum, Sodium Stearoyl Lactylate, Tocopherol, SD Alcohol 40-A (Alcohol Denat.), Sodium Phytate, Caprylic/Capric Triglyceride, Phenoxyethanol, Ethylhexylglycerin, Chlorphenesin, Sodium Dehydroacetate, Benzyl Alcohol, Sodium PCA, Sodium Hydroxide, Limonene*, Linalool*, Citronellol*, Geraniol*, Farnesol*, Citral"
Institut Esthederm,Sun Care Oil Strong Sun,expensive,"sen1",sunscreen,https://s1.thcdn.com/productimg/960/960/11292642-2904398022587780.jpg,"Isohexadecane, Coco-Caprylate, C12-15 Alkyl Benzoate, Ethylhexyl Methoxycinnamate, Octyldodecanol, Limnanthes Alba (Meadowfoam) Seed Oil, Butyl Methoxydibenzoylmethane, Ethylhexyl Methoxycrylene, Oryza Sativa (Rice) Bran Oil, Tocopheryl Acetate, Fragrance (Parfum), Oleoyl Tyrosine, Benzotriazolyl Dodecyl P-Cresol, Stearyl Glycyrrhetinate, Luffa Cylindrica Seed Oil, Oleic Acid, Dihydroxy Methylchromonyl Palmitate, Linalool, Hexyl Cinnamal, Hydroxycitronellal, Limonene, Benzyl Benzoate, Tocopherol, Citronellol, Geraniol, Bht, Isoeugenol, Coumarin, Citral, Benzyl Salicylate"
